date,season_end_year,player_name,team_abbrev,opp_abbrev,stat,threshold,status,actual,reached,source
2026-04-27,2026,Jamal Murray,DEN,MIN,reb,4,HIT,4,,targets_snapshot_2026-04-27.json
2026-04-27,2026,Jaden McDaniels,MIN,DEN,pts,15,MISSED,13,,targets_snapshot_2026-04-27.json
2026-04-27,2026,Jaden McDaniels,MIN,DEN,ast,2,MISSED,1,,targets_snapshot_2026-04-27.json
2026-04-27,2026,Julius Randle,MIN,DEN,reb,6,HIT,9,,targets_snapshot_2026-04-27.json
2026-04-27,2026,Jalen Duren,DET,ORL,ast,2,HIT,3,,targets_snapshot_2026-04-27.json
