date,season_end_year,player_name,team_abbrev,opp_abbrev,stat,threshold,status,actual,reached,source
2026-03-22,2026,Jalen Brunson,NY,WSH,ast,6,MISSED,4,,targets_snapshot_2026-03-22.json
2026-03-22,2026,Jaylen Brown,BOS,MIN,reb,6,HIT,7,,targets_snapshot_2026-03-22.json
2026-03-22,2026,Jaylen Brown,BOS,MIN,ast,4,HIT,4,,targets_snapshot_2026-03-22.json
2026-03-22,2026,Immanuel Quickley,TOR,PHX,ast,6,MISSED,1,,targets_snapshot_2026-03-22.json
2026-03-22,2026,RJ Barrett,TOR,PHX,pts,20,MISSED,13,,targets_snapshot_2026-03-22.json
2026-03-22,2026,Jalen Green,PHX,TOR,pts,20,HIT,20,,targets_snapshot_2026-03-22.json
2026-03-22,2026,Jalen Green,PHX,TOR,ast,2,HIT,7,,targets_snapshot_2026-03-22.json
2026-03-22,2026,Jalen Green,PHX,TOR,3pt,2,HIT,2,,targets_snapshot_2026-03-22.json
2026-03-22,2026,Toumani Camara,POR,DEN,ast,2,HIT,2,,targets_snapshot_2026-03-22.json
2026-03-22,2026,Jerami Grant,POR,DEN,3pt,2,MISSED,,,targets_snapshot_2026-03-22.json
2026-03-22,2026,Collin Gillespie,PHX,TOR,ast,4,MISSED,3,,targets_snapshot_2026-03-22.json
2026-03-22,2026,Karl-Anthony Towns,NY,WSH,reb,12,HIT,16,,targets_snapshot_2026-03-22.json
