team_abbr,team_abbr_alt,player_name,active
DET,,Cade Cunningham,1
DET,,Jalen Duren,1
DET,,Ausar Thompson,1
DET,,Isaiah Stewart,1
NYK,NY,Jalen Brunson,1
NYK,NY,Karl-Anthony Towns,1
NYK,NY,OG Anunoby,1
NYK,NY,Mikal Bridges,1
NYK,NY,Josh Hart,1
TOR,,Brandon Ingram,1
TOR,,Scottie Barnes,1
TOR,,RJ Barrett,1
TOR,,Immanuel Quickley,1
TOR,,Jakob Poeltl,1
BOS,,Jaylen Brown,1
BOS,,Derrick White,1
BOS,,Payton Pritchard,1
BOS,,Neemias Queta,1
PHI,,Tyrese Maxey,1
PHI,,Joel Embiid,1
PHI,,Paul George,1
PHI,,VJ Edgecombe,1
ORL,,Franz Wagner,1
ORL,,Paolo Banchero,1
ORL,,Desmond Bane,1
ORL,,Jalen Suggs,1
MIA,,Tyler Herro,1
MIA,,Norman Powell,1
MIA,,Bam Adebayo,1
MIA,,Andrew Wiggins,1
MIA,,Jaime Jaquez Jr.,1
MIA,,Kel’el Ware,1
CLE,,Donovan Mitchell,1
CLE,,Evan Mobley,1
CLE,,Darius Garland,1
CLE,,Jarrett Allen,1
ATL,,Jalen Johnson,1
ATL,,Nickeil Alexander-Walker,1
ATL,,Kristaps Porzingis,1
ATL,,Trae Young,1
ATL,,Dyson Daniels,1
CHI,,Coby White,1
CHI,,Josh Giddey,1
CHI,,Nikola Vucevic,1
CHI,,Ayo Dosunmu,1
CHI,,Matas Buzelis,1
MIL,,Giannis Antetokounmpo,1
MIL,,Kevin Porter Jr.,1
MIL,,Ryan Rollins,1
MIL,,Kyle Kuzma,1
MIL,,Myles Turner,1
MIL,,Bobby Portis,1
CHA,,Miles Bridges,1
CHA,,LaMelo Ball,1
CHA,,Kon Knueppel,1
CHA,,Brandon MIller,1
CHA,,Collin Sexton,1
BKN,BK,Michael Porter Jr.,1
BKN,BK,Cam Thomas,1
BKN,BK,Nic Claxton,1
IND,,Pascal Siakam,1
IND,,Bennedict Mathurin,1
IND,,Andrew Nembhard,1
IND,,Aaron Nesmith,1
IND,,Obi Toppin,1
IND,,T.J. McConnell,1
WSH,,Alex Sarr,1
WSH,,CJ McCollum,1
WSH,,Kyshawn George,1
OKC,,Shai Gilgeous-Alexander,1
OKC,,Chet Holmgren,1
OKC,,Jalen Williams,1
OKC,,Isaiah Hartenstein,1
OKC,,Ajay Mitchell,1
DEN,,Nikola Jokic,1
DEN,,Jamal Murray,1
DEN,,Aaron Gordon,1
DEN,,Tim Hardaway Jr.,1
DEN,,Cameron Johnson,1
DEN,,Christian Braun,1
LAL,,Luka Doncic,1
LAL,,Austin Reaves,1
LAL,,LeBron James,1
LAL,,Deandre Ayton,1
SAS,,Victor Wembanyama,1
SAS,,De’Aaron Fox,1
SAS,,Stephon Castle,1
SAS,,Devin Vassell,1
SAS,,Dylan Harper,1
SAS,,Harrison Barnes,1
SAS,,Keldon Johnson,1
HOU,,Kevin Durant,1
HOU,,Alperen Sengun,1
HOU,,Amen Thompson,1
HOU,,Jabari Smith Jr.,1
HOU,,Reed Sheppard,1
HOU,,Tari Eason,1
HOU,,Steven Adams,1
MIN,,Anthony Edwards,1
MIN,,Julius Randle,1
MIN,,Jaden McDaniels,1
MIN,,Naz Reid,1
MIN,,Rudy Gobert,1
MIN,,Donte DiVincenzo,1
PHX,,Devin Booker,1
PHX,,Dillon Brooks,1
PHX,,Grayson Allen,1
PHX,,Jalen Green,1
PHX,,Collin Gillespie,1
PHX,,Mark Williams,1
MEM,,Jaren Jackson Jr.,1
MEM,,Ja Morant,1
MEM,,Zach Edey,1
MEM,,Cedric Coward,1
MEM,,Santi Aldama,1
MEM,,Jaylen Wells,1
MEM,,Cam Spencer,1
GSW,GS,Stephen Curry,1
GSW,GS,Jimmy Butler III,1
GSW,GS,Draymond Green,1
POR,,Deni Avdija,1
POR,,Shaedon Sharpe,1
POR,,Jerami Grant,1
POR,,Jrue Holiday,1
POR,,Toumani Camara,1
POR,,Donovan Clingan,1
POR,,Scoot Henderson,1
DAL,,Anthony Davis,1
DAL,,Cooper Flagg,1
DAL,,P.J. Washington,1
UTA,UTAH,Lauri Markkanen,1
UTA,UTAH,Keyonte George,1
UTA,UTAH,Walker Kessler,0
UTA,UTAH,Ace Bailey,1
SAC,,Zach LaVine,1
SAC,,DeMar DeRozan,1
SAC,,Domantas Sabonis,1
SAC,,Keegan Murray,1
SAC,,Russell Westbrook,1
SAC,,Maxime Raynaud,1
LAC,,James Harden,1
LAC,,Kawhi Leonard,1
LAC,,Ivica Zubac,1
NOP,NO,Trey Murphy III,1
NOP,NO,Zion Williamson,1
NOP,NO,Jordan Poole,1
NOP,NO,Jeremiah Fears,1
NOP,NO,Derik Queen,1
NOP,NO,Saddiq Bey,1
