game_id,player_id,athlete_name,team_abbrev,matched_by,team_hint_ok
401810302,3032977,Giannis Antetokounmpo,MIL,id,
401810302,3133628,Myles Turner,MIL,id,
401810302,4397140,Kevin Porter Jr.,MIL,id,
401810302,4591725,Ryan Rollins,MIL,id,
401810302,3064482,Bobby Portis,MIL,id,
401810302,3134907,Kyle Kuzma,MIL,id,
401810302,4066383,Miles Bridges,CHA,id,
401810302,4433287,Brandon Miller,CHA,id,
401810302,4432816,LaMelo Ball,CHA,id,
401810302,4277811,Collin Sexton,CHA,id,
401810303,3155526,Dillon Brooks,PHX,id,
401810303,3136193,Devin Booker,PHX,id,
401810303,4278585,Collin Gillespie,PHX,id,
401810303,4701232,Mark Williams,PHX,id,
401810303,5160992,Alex Sarr,WSH,id,
401810303,2490149,CJ McCollum,WSH,id,
401810304,6430,Jimmy Butler III,GS,id,
401810304,6589,Draymond Green,GS,id,
401810304,3975,Stephen Curry,GS,id,
401810304,4278104,Michael Porter Jr.,BKN,id,
401810304,4278067,Nic Claxton,BKN,id,
401810304,4432174,Cam Thomas,BKN,id,
401810305,3112335,Nikola Jokic,DEN,id,
401810305,2528210,Tim Hardaway Jr.,DEN,id,
401810305,3936299,Jamal Murray,DEN,id,
401810305,3059319,Andrew Wiggins,MIA,id,
401810305,4066261,Bam Adebayo,MIA,id,
401810305,5105623,Kel'el Ware,MIA,id,
401810305,2595516,Norman Powell,MIA,id,
401810305,4432848,Jaime Jaquez Jr.,MIA,id,
401810305,4395725,Tyler Herro,MIA,id,
401810306,4432573,Paolo Banchero,ORL,id,
401810306,4066320,Desmond Bane,ORL,id,
401810306,3913176,Brandon Ingram,TOR,id,
401810306,4433134,Scottie Barnes,TOR,id,
401810306,4395724,Immanuel Quickley,TOR,id,
401810307,3064514,Julius Randle,MIN,id,
401810307,4431671,Jaden McDaniels,MIN,id,
401810307,3032976,Rudy Gobert,MIN,id,
401810307,3934673,Donte DiVincenzo,MIN,id,
401810307,4594268,Anthony Edwards,MIN,id,
401810307,4396971,Naz Reid,MIN,id,
401810307,4711294,Matas Buzelis,CHI,id,
401810307,6478,Nikola Vucevic,CHI,id,
401810307,4395651,Coby White,CHI,id,
401810307,4871145,Josh Giddey,CHI,id,
401810307,4397002,Ayo Dosunmu,CHI,id,
401810308,3149673,Pascal Siakam,IND,id,
401810308,4395712,Andrew Nembhard,IND,id,
401810308,4683634,Bennedict Mathurin,IND,id,
401810308,2530530,T.J. McConnell,IND,id,
401810308,4396909,Aaron Nesmith,IND,id,
401810308,3202,Kevin Durant,HOU,id,
401810308,4432639,Jabari Smith Jr.,HOU,id,
401810308,4433192,Tari Eason,HOU,id,
401810308,2991235,Steven Adams,HOU,id,
401810308,4684740,Amen Thompson,HOU,id,
401810308,4711272,Reed Sheppard,HOU,id,
401810309,3934719,OG Anunoby,NY,id,
401810309,3136195,Karl-Anthony Towns,NY,id,
401810309,3147657,Mikal Bridges,NY,id,
401810309,3934672,Jalen Brunson,NY,id,
401810309,4395628,Zion Williamson,NO,id,
401810309,4397688,Trey Murphy III,NO,id,
401810309,4869780,Derik Queen,NO,id,
401810309,4397136,Saddiq Bey,NO,id,
401810309,5144091,Jeremiah Fears,NO,id,
401810309,4277956,Jordan Poole,NO,id,
401810310,4278039,Nickeil Alexander-Walker,ATL,id,
401810310,4869342,Dyson Daniels,ATL,id,
401810310,4277905,Trae Young,ATL,id,
401810310,4433255,Chet Holmgren,OKC,id,
401810310,4278073,Shai Gilgeous-Alexander,OKC,id,
401810310,4593803,Jalen Williams,OKC,id,
401810310,4900671,Ajay Mitchell,OKC,id,
401810311,4066328,Jarrett Allen,CLE,id,
401810311,4432158,Evan Mobley,CLE,id,
401810311,3908809,Donovan Mitchell,CLE,id,
401810311,4396907,Darius Garland,CLE,id,
401810311,6578,Harrison Barnes,SA,id,
401810311,5104157,Victor Wembanyama,SA,id,
401810311,4066259,De'Aaron Fox,SA,id,
401810311,4395630,Devin Vassell,SA,id,
401810311,4845367,Stephon Castle,SA,id,
401810311,4395723,Keldon Johnson,SA,id,
401810311,5037871,Dylan Harper,SA,id,
401810312,4278078,P.J. Washington,DAL,id,
401810312,5041939,Cooper Flagg,DAL,id,
401810312,4431736,Toumani Camara,POR,id,
401810312,4683021,Deni Avdija,POR,id,
401810312,5105565,Donovan Clingan,POR,id,
401810312,4914336,Shaedon Sharpe,POR,id,
401810312,2991070,Jerami Grant,POR,id,
