season_end_year,game_id,game_date,team_abbrev,opp_abbrev,home_away,player_id,player_name,started,minutes,minutes_raw,pts,reb,ast,tpm,dnp,team_hint_ok,ingested_at
<<<<<<< Updated upstream,,,,,,,,,,,,,,,,,
>>>>>>> Stashed changes,,,,,,,,,,,,,,,,,
=======,,,,,,,,,,,,,,,,,
2026,401809234.0,2025-10-22,CLE,NY,A,3908809.0,Donovan Mitchell,0.0,36.0,36.0,31.0,2.0,5.0,2.0,0.0,1.0,2025-12-29T03:09:18Z
2026,401809234.0,2025-10-22,NY,CLE,H,3147657.0,Mikal Bridges,0.0,33.0,33.0,16.0,5.0,6.0,1.0,0.0,1.0,2025-12-29T03:09:18Z
2026,401809234.0,2025-10-22,NY,CLE,H,3136195.0,Karl-Anthony Towns,0.0,31.0,31.0,19.0,11.0,2.0,1.0,0.0,1.0,2025-12-29T03:09:18Z
2026,401809234.0,2025-10-22,NY,CLE,H,3934719.0,OG Anunoby,0.0,38.0,38.0,24.0,14.0,2.0,4.0,0.0,1.0,2025-12-29T03:09:18Z
2026,401809234.0,2025-10-22,CLE,NY,A,4432158.0,Evan Mobley,0.0,36.0,36.0,22.0,8.0,3.0,4.0,0.0,1.0,2025-12-29T03:09:18Z
2026,401809234.0,2025-10-22,NY,CLE,H,3934672.0,Jalen Brunson,0.0,34.0,34.0,23.0,4.0,5.0,1.0,0.0,1.0,2025-12-29T03:09:18Z
2026,401809234.0,2025-10-22,CLE,NY,A,4066328.0,Jarrett Allen,0.0,28.0,28.0,4.0,4.0,1.0,0.0,0.0,1.0,2025-12-29T03:09:18Z
2026,401809236.0,2025-10-23,OKC,IND,A,4222252.0,Isaiah Hartenstein,0.0,37.0,37.0,5.0,14.0,2.0,0.0,0.0,1.0,2025-12-29T03:09:19Z
2026,401809236.0,2025-10-23,IND,OKC,H,4683634.0,Bennedict Mathurin,0.0,45.0,45.0,36.0,11.0,1.0,3.0,0.0,1.0,2025-12-29T03:09:19Z
2026,401809236.0,2025-10-23,IND,OKC,H,4278355.0,Obi Toppin,0.0,40.0,40.0,20.0,5.0,3.0,0.0,0.0,1.0,2025-12-29T03:09:19Z
2026,401809236.0,2025-10-23,IND,OKC,H,4395712.0,Andrew Nembhard,0.0,17.0,17.0,4.0,1.0,4.0,0.0,0.0,1.0,2025-12-29T03:09:19Z
2026,401809236.0,2025-10-23,IND,OKC,H,4396909.0,Aaron Nesmith,0.0,27.0,27.0,5.0,7.0,0.0,1.0,0.0,1.0,2025-12-29T03:09:19Z
2026,401809236.0,2025-10-23,OKC,IND,A,4278073.0,Shai Gilgeous-Alexander,0.0,45.0,45.0,55.0,8.0,5.0,2.0,0.0,1.0,2025-12-29T03:09:19Z
2026,401809236.0,2025-10-23,OKC,IND,A,4900671.0,Ajay Mitchell,0.0,38.0,38.0,26.0,3.0,4.0,0.0,0.0,1.0,2025-12-29T03:09:19Z
2026,401809236.0,2025-10-23,IND,OKC,H,3149673.0,Pascal Siakam,0.0,44.0,44.0,32.0,15.0,4.0,3.0,0.0,1.0,2025-12-29T03:09:19Z
2026,401809236.0,2025-10-23,OKC,IND,A,4433255.0,Chet Holmgren,0.0,39.0,39.0,15.0,12.0,2.0,0.0,0.0,1.0,2025-12-29T03:09:19Z
2026,401809235.0,2025-10-23,SA,DAL,A,4845367.0,Stephon Castle,0.0,29.0,29.0,22.0,7.0,6.0,1.0,0.0,0.0,2025-12-29T03:09:19Z
2026,401809235.0,2025-10-23,SA,DAL,A,5037871.0,Dylan Harper,0.0,23.0,23.0,15.0,4.0,2.0,1.0,0.0,0.0,2025-12-29T03:09:19Z
2026,401809235.0,2025-10-23,DAL,SA,H,6583.0,Anthony Davis,0.0,32.0,32.0,22.0,13.0,1.0,2.0,0.0,1.0,2025-12-29T03:09:19Z
2026,401809235.0,2025-10-23,SA,DAL,A,4395723.0,Keldon Johnson,0.0,25.0,25.0,11.0,5.0,2.0,1.0,0.0,0.0,2025-12-29T03:09:19Z
2026,401809235.0,2025-10-23,SA,DAL,A,6578.0,Harrison Barnes,0.0,30.0,30.0,7.0,2.0,1.0,1.0,0.0,0.0,2025-12-29T03:09:19Z
2026,401809235.0,2025-10-23,SA,DAL,A,5104157.0,Victor Wembanyama,0.0,30.0,30.0,40.0,15.0,1.0,1.0,0.0,0.0,2025-12-29T03:09:19Z
2026,401809235.0,2025-10-23,SA,DAL,A,4395630.0,Devin Vassell,0.0,31.0,31.0,13.0,3.0,4.0,1.0,0.0,0.0,2025-12-29T03:09:19Z
2026,401809235.0,2025-10-23,DAL,SA,H,4278078.0,P.J. Washington,0.0,29.0,29.0,17.0,5.0,1.0,2.0,0.0,1.0,2025-12-29T03:09:19Z
2026,401809235.0,2025-10-23,DAL,SA,H,5041939.0,Cooper Flagg,0.0,32.0,32.0,10.0,10.0,0.0,0.0,0.0,1.0,2025-12-29T03:09:19Z
2026,401809237.0,2025-10-24,DEN,GS,A,3936299.0,Jamal Murray,0.0,40.0,40.0,25.0,3.0,10.0,1.0,0.0,1.0,2025-12-29T03:09:20Z
2026,401809237.0,2025-10-24,DEN,GS,A,3064290.0,Aaron Gordon,0.0,39.0,39.0,50.0,8.0,2.0,10.0,0.0,1.0,2025-12-29T03:09:20Z
2026,401809237.0,2025-10-24,DEN,GS,A,4431767.0,Christian Braun,0.0,38.0,38.0,6.0,4.0,2.0,0.0,0.0,1.0,2025-12-29T03:09:20Z
2026,401809237.0,2025-10-24,DEN,GS,A,2528210.0,Tim Hardaway Jr.,0.0,22.0,22.0,10.0,2.0,0.0,2.0,0.0,1.0,2025-12-29T03:09:20Z
2026,401809237.0,2025-10-24,DEN,GS,A,3112335.0,Nikola Jokic,0.0,41.0,41.0,21.0,13.0,10.0,2.0,0.0,1.0,2025-12-29T03:09:20Z
2026,401809237.0,2025-10-24,DEN,GS,A,3138196.0,Cameron Johnson,0.0,32.0,32.0,5.0,3.0,2.0,1.0,0.0,1.0,2025-12-29T03:09:20Z
2026,401809237.0,2025-10-24,GS,DEN,H,6589.0,Draymond Green,0.0,34.0,34.0,13.0,8.0,8.0,2.0,0.0,1.0,2025-12-29T03:09:20Z
2026,401809237.0,2025-10-24,GS,DEN,H,3975.0,Stephen Curry,0.0,37.0,37.0,42.0,6.0,7.0,6.0,0.0,1.0,2025-12-29T03:09:20Z
2026,401809237.0,2025-10-24,GS,DEN,H,6430.0,Jimmy Butler III,0.0,39.0,39.0,21.0,5.0,6.0,2.0,0.0,1.0,2025-12-29T03:09:20Z
2026,401809238.0,2025-12-25,NY,CLE,H,3934719.0,OG Anunoby,0.0,33.0,33.0,8.0,2.0,2.0,1.0,0.0,1.0,2025-12-29T03:09:21Z
2026,401809238.0,2025-12-25,NY,CLE,H,3136195.0,Karl-Anthony Towns,0.0,27.0,27.0,11.0,14.0,1.0,0.0,0.0,1.0,2025-12-29T03:09:21Z
2026,401809238.0,2025-12-25,NY,CLE,H,3062679.0,Josh Hart,0.0,26.0,26.0,15.0,5.0,3.0,2.0,0.0,1.0,2025-12-29T03:09:21Z
2026,401809238.0,2025-12-25,CLE,NY,A,3908809.0,Donovan Mitchell,0.0,33.0,33.0,34.0,7.0,6.0,4.0,0.0,1.0,2025-12-29T03:09:21Z
2026,401809238.0,2025-12-25,NY,CLE,H,3934672.0,Jalen Brunson,0.0,39.0,39.0,34.0,1.0,4.0,6.0,0.0,1.0,2025-12-29T03:09:21Z
2026,401809238.0,2025-12-25,CLE,NY,A,4432158.0,Evan Mobley,0.0,25.0,25.0,14.0,9.0,3.0,0.0,0.0,1.0,2025-12-29T03:09:21Z
2026,401809238.0,2025-12-25,NY,CLE,H,3147657.0,Mikal Bridges,0.0,36.0,36.0,12.0,3.0,4.0,2.0,0.0,1.0,2025-12-29T03:09:21Z
2026,401809238.0,2025-12-25,CLE,NY,A,4066328.0,Jarrett Allen,0.0,23.0,23.0,7.0,8.0,2.0,0.0,0.0,1.0,2025-12-29T03:09:21Z
2026,401809238.0,2025-12-25,CLE,NY,A,4396907.0,Darius Garland,0.0,36.0,36.0,20.0,1.0,10.0,3.0,0.0,1.0,2025-12-29T03:09:21Z
